은행코드,은행명,상품코드,상품명,상품일련번호,계약기간개월수_최소구간,계약기간개월수_최대구간,가입금액_최소구간,가입금액_최대구간,통장거치식_신규가입금액_단위,적립식_월부금_단위,상품개요_설명,신규채널,해지채널,상품그룹코드,상품그룹명,예금입출금방식,만기여부,이자지급방법,이자계산방법,적립식_부금납입방식,적립식_부금납입주기,적립식_부금금액한도_여부,적립식_부금금액한도_조건,가입대상고객_조건여부,가입대상고객_조건,가입제한_조건여부,가입제한_조건,기본금리,예금자보호대상여부,판매한도금액,만기후이율,중도해지이율,세제혜택_비과세종합저축_여부,세제혜택_비과세종합저축_조건,회전식_정기예금_여부,회전식_정기예금_회전주기_개월수,기타_상품가입_고려사항,추가내용,우대금리조건여부,우대금리조건_개수,최대우대금리,우대금리조건_고객예금실적_여부,우대금리조건_고객예금실적_조건,우대금리조건_고객예금실적_우대금리,우대금리조건_우수고객우대제도_여부,우대금리조건_우수고객우대제도_조건,우대금리조건_우수고객우대제도_우대금리,우대금리조건_가입금액우대_여부,우대금리조건_가입금액우대_조건,우대금리조건_가입금액우대_우대금리,우대금리조건_아파트관리비이체_여부,우대금리조건_아파트관리비이체_조건,우대금리조건_아파트관리비이체_우대금리,우대금리조건_공과금이체_여부,우대금리조건_공과금이체_조건,우대금리조건_공과금이체_우대금리,우대금리조건_급여이체_여부,우대금리조건_급여이체_조건,우대금리조건_급여이체_우대금리,우대금리조건_예금자동이체_여부,우대금리조건_예금자동이체_여부_조건,우대금리조건_예금자동이체_우대금리,우대금리조건_보험료자동이체_여부,우대금리조건_보험료자동이체_여부_조건,우대금리조건_보험료자동이체_우대금리,우대금리조건_연금자동이체_여부,우대금리조건_연금자동이체_여부_조건,우대금리조건_연금자동이체_우대금리,우대금리조건_신용카드가맹점결제계좌_여부,우대금리조건_신용카드가맹점결제계좌_조건,우대금리조건_신용카드가맹점결제계좌_우대금리,우대금리조건_신용카드결제계좌_여부,우대금리조건_신용카드결제계좌_조건,우대금리조건_신용카드결제계좌_우대금리,우대금리조건_신용카드사용금액_여부,우대금리조건_신용카드사용금액_조건,우대금리조건_신용카드사용금액_우대금리,우대금리조건_체크카드연계_여부,우대금리조건_체크카드연계_조건,우대금리조건_체크카드연계_우대금리,우대금리조건_제휴카드연계_여부,우대금리조건_제휴카드연계_조건,우대금리조건_제휴카드연계_우대금리,우대금리조건_재유치_여부,우대금리조건_재유치_조건,우대금리조건_재유치_우대금리,우대금리조건_카드사용실적_여부,우대금리조건_카드사용실적_조건,우대금리조건_카드사용실적_우대금리,우대금리조건_퇴직금예치_여부,우대금리조건_퇴직금예치_조건,우대금리조건_퇴직금예치_우대금리,우대금리조건_고객특성우대_여부,우대금리조건_고객특성우대_조건,우대금리조건_고객특성우대_우대금리,우대금리조건_장병우대_여부,우대금리조건_장병우대_조건,우대금리조건_장병우대_우대금리,우대금리조건_농어민우대_여부,우대금리조건_농어민우대_조건,우대금리조건_농어민우대_우대금리,우대금리조건_어린이우대_여부,우대금리조건_어린이우대_조건,우대금리조건_어린이우대_우대금리,우대금리조건_학생우대_여부,우대금리조건_학생우대_조건,우대금리조건_학생우대_우대금리,우대금리조건_첫거래우대_여부,우대금리조건_첫거래우대_조건,우대금리조건_첫거래우대_우대금리,우대금리조건_고객연령우대_여부,우대금리조건_고객연령우대_조건,우대금리조건_고객연령우대_우대금리,우대금리조건_비대면채널_여부,우대금리조건_비대면채널_조건,우대금리조건_비대면채널_우대금리,우대금리조건_인터넷뱅킹_여부,우대금리조건_인터넷뱅킹_조건,우대금리조건_인터넷뱅킹_우대금리,우대금리조건_모바일뱅킹_여부,우대금리조건_모바일뱅킹_조건,우대금리조건_모바일뱅킹_우대금리,우대금리조건_모바일앱_여부,우대금리조건_모바일앱_조건,우대금리조건_모바일앱_우대금리,우대금리조건_오픈뱅킹_여부,우대금리조건_오픈뱅킹_조건,우대금리조건_오픈뱅킹_우대금리,우대금리조건_마이데이터_여부,우대금리조건_마이데이터_조건,우대금리조건_마이데이터_우대금리,우대금리조건_상품미보유_여부,우대금리조건_상품미보유_조건,우대금리조건_상품미보유_우대금리,우대금리조건_만기금액우대_여부,우대금리조건_만기금액우대_조건,우대금리조건_만기금액우대_우대금리,우대금리조건_마케팅활용동의_여부,우대금리조건_마케팅활용동의_조건,우대금리조건_마케팅활용동의_우대금리,우대금리조건_위치인증_여부,우대금리조건_위치인증_조건,우대금리조건_위치인증_우대금리,우대금리조건_기타1_여부,우대금리조건_기타1_조건,우대금리조건_기타1_우대금리,우대금리조건_기타2_여부,우대금리조건_기타2_조건,우대금리조건_기타2_우대금리,우대금리조건_기타3_여부,우대금리조건_기타3_조건,우대금리조건_기타3_우대금리,우대금리조건_기타4_여부,우대금리조건_기타4_조건,우대금리조건_기타4_우대금리,우대금리조건_기타5_여부,우대금리조건_기타5_조건,우대금리조건_기타5_우대금리
007,수협은행,007-00003,Sh해양플라스틱Zero!적금,1,12개월,12개월,제한없음,제한없음,제한없음,1만원 이상 (원단위),"해양쓰레기 저감활동을 지원햐는 적립식 예금
 - 해양쓰레기 저감활동 지원을 위해 수협은행 단독 부담으로 2025년 12월 31
일까지 이 적금 연 평균잔액 순증액의 0.05% 이내에서 기금을 조성하여 
해양환경공단 등에 지정 기탁","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹, 7:계좌이체",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,"1:정액적립식, 2:자유적립식","1:매월납부, 3:자유적립식",있음,"1) 정액적립식 : 월100만원
2) 자유적립식 : 월20만원",있음,실명개인(1인1계좌),없음,,3.15,Y,,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,계약기간내에 비과세종합저축 가입가능,,,,,Y,5.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"이 적금 신규이후 만기해지시까지 수협은행 본인 입출금통장에서 다음 각 호의 실적중 하나가 월1회이상 발생한 월수가 적금 계약 기간의 1/2이상인 경우 
가. 수협신용카드 결제대금이나 당행 펀드 납입금이 자동이체로 출금된 실적 
나. 수협체크카드 승인실적",0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,적금 신규시 입출금통장 미보유,0.2,,,,,,,,,,Y,봉사활동 또는 SNS통한 홍보활동,,Y,해양플라스틱  감축 서약,0.1,Y,부금납입을 정액적립식으로 신규,0.35,,,,,,
D07,머스트삼일저축은행,D07-00002,정기예금 복리식,1,1개월 이상,3개월 미만,10만원 이상,제한없음,10만원 이상(원단위),제한없음,일정금액을 일정기간 동안 예치하여 예치기간이 만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합,1:영업점,"1:영업점, 7:계좌이체",1,은행수신상품,2:거치식(목돈운용),만기 있음,1:만기일시 지급식,2:복리,,,,,없음,,없음,,1.0,Y,,"만기후 1개월 이내 : 약정금리
만기후 1개월 초과 : 현행 보통예금 금리","1개월 미만 : 약정당시의 보통예금 금리
1개월 이상 ~ 6개월 미만 : 약정금리의 50%
6개월 이상 ~ 12개월 미만 : 약정금리의 60%
12개월 이상 ~ 24개월 미만 : 약정금리의 70%",Y,"1) 비과세종합저축 가입가능: 전 금융기관 합산하여 1인당 5,000만원 이내
2) 가입대상: 만65세 이상의 거주자, 장애인복지법에 의하여 등록한 장애인, 독립유공자와 그 유족 또는 가족, 국가유공자증에 의한 상이자, 기초생활보장수급자, 고엽제후유의증 환자, 5.18민주화운동 부상자",,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088,신한은행,088-00017,신한 스마트 적금,1,12개월,12개월,제한없음,제한없음,제한없음,1천원 이상,복잡한 우대금리 요건없이 간단하게 스마트폰뱅킹에서 가입 가능한 스마트폰 전용적금,3:스마트뱅킹,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹, 7:계좌이체",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,2:자유적립식,3:자유적립식,있음,월100만원 이하,있음,실명의 개인 및 개인사업자(1인1계좌),없음,,3.6,Y,,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,계약기간내에 비과세종합저축 가입가능,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088,신한은행,088-00038,신한 S드림 기업적금,3,24개월 이상,36개월 미만,제한없음,제한없음,제한없음,1천원 이상,다양한 거래에 따른 우대이율을 제공하는 기업전용(개인사업자 포함) 적립식 상품,1:영업점,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹, 7:계좌이체",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,"1:정액적립식, 2:자유적립식","1:매월납부, 3:자유적립식",있음,"자유적립식 : 월2천만원 이하
정액적립식 : 제한없음",있음,"법인, 개인사업자, 단체, 조합",없음,,2.7,Y,,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,계약기간내에 비과세종합저축 가입가능,,,,,Y,7.0,0.5,Y,"요구불성 예금 월평잔3백만원 이상 실적이
1회 이상인 경우",0.1,,,,Y,1백만원 이상 신규,0.1,,,,,,,Y,"기업뱅킹 이용한 종업원 급여이체 실적이
1회이상(1인 50만원이상 3명)",0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"비대면 채널 우대
(Global CMS, INSIDE BANK 가입한 경우)",0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,수출입으로 해외송수금 실적 1회이상,,Y,모범납세자 또는 마을세무사 우대,0.2,Y,정액적립식으로 신규,0.1,,,,,,
011,농협은행,011-00055,NH1418우대통장,1,제한없음,제한없음,제한없음,제한없음,제한없음,제한없음,청소년고객에게 다양한 서비스 혜택과 금융거래 경험을 제공하는 상품,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹",1,은행수신상품,1:자유입출식(통장식),만기 없음,3:결산주기별 이자지급(자유입출식),1:단리,,,,,있음,"만14세 ~ 만18세 개인
1인1계좌",없음,,0.1,Y,,,,Y,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088,신한은행,088-00055,신한 창업진흥원 스타트업통장,1,제한없음,제한없음,제한없음,제한없음,제한없음,제한없음,창업진흥원으로부터 창업지원금 입금실적 발생시 금융수수료 우대를 제공하는 입출금통장,1:영업점,1:영업점,1,은행수신상품,1:자유입출식(통장식),만기 없음,3:결산주기별 이자지급(자유입출식),1:단리,,,,,있음,"창업진흥원 지원금 수령받는 개인 및 개인
사업자, 임의단체, (비)영리법인",없음,,0.1,Y,,해당사항 없음,해당사항 없음,N,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032,부산은행,032-00043,상호부금,2,12개월 이상,24개월 미만,제한없음,제한없음,제한없음,100원 이상 원단위,"만기에 이자와 함께 목돈을 마련할 수 있으며, 
중간에 목돈이 필요하시면 대출도 가능한 상품",1:영업점,1:영업점,1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,1:정액적립식,1:매월납부,없음,,없음,,없음,,2.9,Y,,신규가입일 당시 고시한 만기후이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032,부산은행,032-00043,상호부금,3,24개월 이상,36개월 미만,제한없음,제한없음,제한없음,100원 이상 원단위,"만기에 이자와 함께 목돈을 마련할 수 있으며, 
중간에 목돈이 필요하시면 대출도 가능한 상품",1:영업점,1:영업점,1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,1:정액적립식,1:매월납부,없음,,없음,,없음,,2.95,Y,,신규가입일 당시 고시한 만기후이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011,농협은행,011-00056,사업잘되는NH통장,1,제한없음,제한없음,제한없음,제한없음,제한없음,제한없음,"신용카드/현금카드/제로페이 가맹점대금 입금시 이 통장을 통한 거래에 한해 
우대혜택을 드리는 비대면 전용 입출식 상품",3:스마트뱅킹,0:제한없음,1,은행수신상품,1:자유입출식(통장식),만기 없음,3:결산주기별 이자지급(자유입출식),1:단리,,,,,있음,"개인사업자(사업자번호별 1계좌), 공동대표 가입불가",없음,,0.1,Y,,,,Y,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088,신한은행,088-00079,마이홈플랜 주택청약종합저축,3,12개월 이상,24개월 미만,제한없음,제한없음,제한없음,2만원 이상 10원단위,국민주택 등에 청약이 가능한 청약저축의 성격을 기본으로 하면서 지역별 예치금 이상의 금액이 납입되면 민영주택 청약도가능한 만능의 청약통장,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹, 5:콜센타, 6:모바일웹뱅킹",1:영업점,1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,2:자유적립식,3:자유적립식,있음,"1) 납입잔액이 15백만원 미만인 경우
     회차별 15백만원 이하
2) 납입잔액이 15백만원 이상인 경우
     회차별 50만원 이하",있음,"국민인 개인, 국내거주 재외동포, 외국인 근로자(전금융기관 1인1계좌)",없음,,2.5,Y,,해당사항 없음,별도 중도이율을 적용하지 않고 가입기간별 약정이율을 적용,Y,계약기간내에 비과세종합저축 가입가능,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007,수협은행,007-00002,헤이(Hey)정기예금,3,12개월,12개월,십만원 이상,2억원 이하,십만원 이상  원단위,제한없음,우대금리 조건없이 간단하며 이벤트시 특별금리를 제공하는 비대면 정기예금,"2:인터넷뱅킹, 3:스마트뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹, 7:계좌이체",1,은행수신상품,2:거치식(목돈운용),만기 있음,1:만기일시 지급식,1:단리,,,,,있음,"실명의 개인(다계좌 가능하나, 1인당 가입한도는 최대 2억원)",없음,,3.95,Y,,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,계약기간내에 비과세종합저축 가입가능,,,,자동재예치 가능,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007,수협은행,007-00002,헤이(Hey)정기예금,2,6개월 이상,12개월 미만,십만원 이상,2억원 이하,십만원 이상  원단위,제한없음,우대금리 조건없이 간단하며 이벤트시 특별금리를 제공하는 비대면 정기예금,"2:인터넷뱅킹, 3:스마트뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹, 7:계좌이체",1,은행수신상품,2:거치식(목돈운용),만기 있음,1:만기일시 지급식,1:단리,,,,,있음,"실명의 개인(다계좌 가능하나, 1인당 가입한도는 최대 2억원)",없음,,3.8,Y,,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,계약기간내에 비과세종합저축 가입가능,,,,자동재예치 가능,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007,수협은행,007-00046,정기적금,3,24개월 이상,36개월 미만,제한없음,제한없음,제한없음,월1만원 이상,일정한 기간을 정하여 일정일에 일정금액을 납입하면 계약금액을 지급하는 목돈마련저축,1:영업점,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹, 7:계좌이체",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,1:정액적립식,1:매월납부,없음,,없음,,없음,,3.0,Y,,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,계약기간내에 비과세종합저축 가입가능,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A09,The-K 저축은행,A09-00006,정기적금,4,36개월,36개월,제한없음,제한없음,제한없음,1만원 이상,일정한 금액을 정기적으로 납입하여 만기일에 이자를 지급받는 상품(영업점 가입전용),1:영업점,"1:영업점, 7:계좌이체",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,1:정액적립식,1:매월납부,없음,,없음,,없음,,3.3,Y,,신규가입일 당시 고시한 만기후 이자율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,"가입대상 : 만65세 이상의 거주자, 장애인복지법에 의하여 등록한 장애인, 독립유공자와 그 유족 또는 가족, 국가유공자증에 의한 상이자, 기초생활보장수급자, 고엽제후유의증 환자, 5.18 민주화운동 부상자",,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A11,HB 저축은행,A11-00003,기업자유예금,1,제한없음,제한없음,제한없음,제한없음,제한없음,제한없음,법인 및 개인사업자를 위한 입출금이 자유로운 예금,1:영업점,1:영업점,1,은행수신상품,1:자유입출식(통장식),만기 없음,3:결산주기별 이자지급(자유입출식),1:단리,,,,,없음,,없음,,3.0,Y,,해당사항 없음,해당사항 없음,N,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A11,HB 저축은행,A11-00006,정기예금,6,24개월 이상,36개월 미만,10만원 이상,제한없음,10만원 이상,제한없음,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,1:영업점,"1:영업점, 7:계좌이체",1,은행수신상품,2:거치식(목돈운용),만기 있음,"1:만기일시 지급식, 2:월이자 지급식","1:단리, 2:복리",,,,,없음,,없음,,3.6,Y,,신규가입일 당시 고시한 만기후 이자율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,"가입대상 : 만65세 이상의 거주자, 장애인복지법에 의하여 등록한 장애인, 독립유공자와 그 유족 또는 가족, 국가유공자증에 의한 상이자, 기초생활보장수급자, 고엽제후유의증 환자, 5.18 민주화운동 부상자",,,,,Y,1.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,만기일시지급식으로 이자지급 시,,,,,,,,,,,,,
A19,다올 저축은행,A19-00004,Fi 커넥트통장,1,제한없음,제한없음,1원 이상,1천만원 이하,제한없음,제한없음,주거래은행 오픈뱅킹 연결로 우대금리가 더해지는 입출금이 자유로운 예금,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹",1,은행수신상품,1:자유입출식(통장식),만기 없음,3:결산주기별 이자지급(자유입출식),1:단리,,,,,있음,실명의 개인(1인1계좌),없음,,3.0,Y,,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,계약기간내에 비과세종합저축 가입가능,,,,,Y,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,시중은행/증권사 오픈뱅킹에 계좌등록시,,,,,,,,,,,,,
A19,다올 저축은행,A19-00009,Fi정기적금,2,12개월 이상,24개월 미만,제한없음,제한없음,제한없음,1만원 이상,매월 일정금액을 불입하여 만기시 목돈을 마련하는 상품,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹","1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹, 7:계좌이체",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,1:정액적립식,1:매월납부,없음,,없음,,없음,,4.2,Y,,신규가입일 당시 고시한 만기후 이자율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,"가입대상 : 만65세 이상의 거주자, 장애인복지법에 의하여 등록한 장애인, 독립유공자와 그 유족 또는 가족, 국가유공자증에 의한 상이자, 기초생활보장수급자, 고엽제후유의증 환자, 5.18 민주화운동 부상자",,,,,Y,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,비대면 가입자 우대,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A19,다올 저축은행,A19-00005,더드림기업자유예금,1,제한없음,제한없음,제한없음,제한없음,제한없음,제한없음,"금리수익을 원하는 법인, 개인사업자를 위한 입출금통장",1:영업점,1:영업점,1,은행수신상품,1:자유입출식(통장식),만기 없음,3:결산주기별 이자지급(자유입출식),1:단리,,,,,있음,법인 및 개인사업자,없음,,3.0,Y,,해당사항 없음,해당사항 없음,N,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011,농협은행,011-00066,법사랑플러스통장,1,제한없음,제한없음,제한없음,제한없음,제한없음,제한없음,"실생활 속에서 국민 모두가 꼭 지켜야 할 기초질서 등 사회전반으로 법질서실천 
운동을 확대해 나가는 공익금융상품",1:영업점,1:영업점,1,은행수신상품,1:자유입출식(통장식),만기 없음,3:결산주기별 이자지급(자유입출식),1:단리,,,,,있음,"개인,법인",없음,,0.1,Y,,,,Y,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034,광주은행,034-00015,당좌예금,1,제한없음,제한없음,제한없음,제한없음,제한없음,제한없음,상거래의 안전과 편리를 위해 지급자금 출납사무를 은행이 대행하는 예금,1:영업점,1:영업점,1,은행수신상품,1:자유입출식(통장식),만기 없음,3:결산주기별 이자지급(자유입출식),1:단리,,,,,있음,일정자격을 갖춘 법인 또는 개인사업자,없음,,0.0,Y,,,,N,,,,,"원금 및 이자지급제한 
계좌에 압류, 가압류, 질권설정 등이 등록될 경우 원금 및 이자 지급 제한
예금잔액증명서 발급 당일에는 입금·출금·이체 등 잔액 변동 불가
통장이 ‘전기통신금융사기 피해 방지 및 피해금 환급에 관한 특별법’에서 정의한 피해의심거래계좌 및 사기이용계좌로 이용될 경우 이체, 송금지연, 지급정지 등의 금융거래 제한조치를 할 수 있음",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032,부산은행,032-00049,메리트정기예금,6,3개월 이상,6개월 미만,5백만원,제한없음,5백만원 이상,제한없음,시장실세금리에 연동한 약정금리를 만기일까지 적용하는 확정금리 정기예금으로 단기 고금리 상품입,"1:영업점, 2:인터넷뱅킹","1:영업점, 2:인터넷뱅킹",1,은행수신상품,2:거치식(목돈운용),만기 있음,2:월이자 지급식,1:단리,,,,,없음,,없음,,2.35,Y,,신규가입일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007,수협은행,007-00021,여행적금,1,6개월,6개월,제한없음,제한없음,제한없음,월1만원 이상,수협신용카드 실적에 따른 우대금리와 제휴서비스를 제공하는 여행특화상품,3:스마트뱅킹,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹, 7:계좌이체",1,은행수신상품,3:적립식(목돈마련),만기 있음,1:만기일시 지급식,1:단리,1:정액적립식,1:매월납부,있음,월30만원 이하,있음,만18세 이상 실명의 개인(1인1계좌),없음,,3.0,Y,,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,계약기간내에 비과세종합저축 가입가능,,,,,Y,4.0,3.0,,,,,,,,,,,,,,,,,,,Y,Y,0.2,,,,,,,,,,Y,수협신용카드 보유 및 당행 결제계좌 지정,0.2,Y,"적금가입일에서 만기일 동안 수협신용카드
2백만원 이상 사용",2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"개인(신용)정보 수집,이용 동의",0.1,,,,,,,,,,,,,,,,,,
007,수협은행,007-00048,저축예금,1,제한없음,제한없음,제한없음,제한없음,제한없음,제한없음,예금의 입금 및 출금을 자유롭게 할 수 있는 예금상품,1:영업점,"1:영업점, 2:인터넷뱅킹, 3:스마트뱅킹",1,은행수신상품,1:자유입출식(통장식),만기 없음,3:결산주기별 이자지급(자유입출식),1:단리,,,,,있음,실명의 개인,없음,,0.1,Y,,만기일 당시 고시한 만기후 이율 적용,신규가입일 당시 고시한 중도해지이율 적용,Y,계약기간내에 비과세종합저축 가입가능,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
